Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
150;25741355;05/02/2025 - 17:30;05/02/2025 - 17:30;05/02/2025 - 17:30;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Faible;Faible;Faible;Réticent;Réticent;Favorable;Favorable;Réticent;Favorable;C'est très important;C'est très secondaire;C'est plutôt important;C'est plutôt important;C'est très secondaire;C'est important;35-44 ans;"Je me méfie de l'effet de déresponsabilisation que pourrais entrainer l'utilisation de l'IA dans le recrutement 
Autant la collaboration homme machine me semble intéressante, autant la substitution de l'un pour l'autre me semble dangereuse et contreproductive."
151;25741509;05/02/2025 - 17:35;05/02/2025 - 17:35;05/02/2025 - 17:35;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Tout à fait favorable;Assez favorable;Assez favorable;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;45-54 ans;Je luis conseillerais de s'intéresser aux outils d'XAI
152;25741659;05/02/2025 - 17:42;05/02/2025 - 17:42;05/02/2025 - 17:42;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Ni favorable, ni opposé;à l'aise;à l'aise;Ni aisance, ni difficultés;à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Elevé;Très favorable;Très favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est secondaire;35-44 ans;La question n’est pas de confier les recrutements à une IA mais de paramétrer cette dernière. De manière idéaliste, il faudrait concevoir et paramétrer un LLM pour le recrutement, sous forme de boîte noire, pour que les données ne soient altérables par un humain. Le LLM doit permettre d’extraire, par exemple, uniquement le profil professionnel du candidat ainsi que son expérience scolaire et ses centres d’intérêts afin de livrer une première analyse quant à la pertinence du dit profil par rapport à la fiche de poste correspondante.
153;25741724;05/02/2025 - 17:44;05/02/2025 - 17:44;05/02/2025 - 17:44;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Assez favorable;Ni favorable, ni opposé;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Faible;Ni faible, ni élevé;Faible;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Favorable;Favorable;Favorable;Très favorable;C'est très important;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est essentiel;55-64 ans;"L'utilisation de l'IA permettra de systématiser le recrutement et de mettre en place un conception particularisé du processus de recrutement en l'optimisant. Mais cette optimisation engendre le risque d'une belle surprise, d'une belle rencontre avec une personne ""atypique""."
154;25741759;05/02/2025 - 17:46;05/02/2025 - 17:46;05/02/2025 - 17:46;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Ni favorable, ni opposé;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important ou secondaire;C'est essentiel;45-54 ans;
155;25741963;05/02/2025 - 17:53;05/02/2025 - 17:53;05/02/2025 - 17:53;0;0.0.0.0;0;Anonymous;Totalement opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Totalement opposé;Plutôt opposé;à l'aise;à l'aise;à l'aise;à l'aise;Faible;Très faible;Très faible;Faible;Réticent;Réticent;Très réticent;Ni réticent, ni favorable;Réticent;Très réticent;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;35-44 ans;"Erreur stratégique commise par des entreprises qui cèdent aux sirènes de l'IA, sans comprendre qu'elles se condamnent !
Signé : un formateur en éthique et droit du déploiement de SIA auprès d'entreprises."
156;25745839;05/02/2025 - 21:18;05/02/2025 - 21:18;05/02/2025 - 21:18;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;Assez favorable;Ni aisance, ni difficultés;Quelques difficultés;Quelques difficultés;Plutôt à l'aise;Elevé;Faible;Ni faible, ni élevé;Faible;Favorable;Réticent;Très réticent;Ni réticent, ni favorable;Réticent;Très favorable;C'est plutôt important;C'est très secondaire;C'est plutôt secondaire;C'est important ou secondaire;C'est très secondaire;C'est secondaire;35-44 ans;
157;25747829;06/02/2025 - 05:44;06/02/2025 - 05:44;06/02/2025 - 05:44;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Très faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Favorable;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très secondaire;C'est essentiel;55-64 ans;À fuir 
158;25773774;07/02/2025 - 09:29;07/02/2025 - 09:29;07/02/2025 - 09:29;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Totalement opposé;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est plutôt important;C'est très secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;25-34 ans;
159;25777639;07/02/2025 - 11:28;07/02/2025 - 11:28;07/02/2025 - 11:28;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;Plutôt opposé;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Faible;Faible;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;18-24 ans;
160;25788853;07/02/2025 - 18:06;07/02/2025 - 18:06;07/02/2025 - 18:06;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;à l'aise;Faible;Faible;Très faible;Très faible;Très réticent;Ni réticent, ni favorable;Très réticent;Très réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;18-24 ans;
161;25830778;10/02/2025 - 21:17;10/02/2025 - 21:17;10/02/2025 - 21:17;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Faible;Très faible;Très faible;Très faible;Favorable;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;45-54 ans;
162;25831676;10/02/2025 - 22:35;10/02/2025 - 22:35;10/02/2025 - 22:35;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Faible;Réticent;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;18-24 ans;
163;25898445;14/02/2025 - 13:15;14/02/2025 - 13:15;14/02/2025 - 13:15;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Elevé;Ni faible, ni élevé;Elevé;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;18-24 ans;
